Artist,msPlayed,Duration_Minutes
John Butler Trio,4066,0.06776666666666667
John Frusciante,8235,0.13725
Johnny Booth,858,0.0143
Journey,12733,0.21221666666666666
Joy Division,1412,0.023533333333333333
Judas Priest,3851435,64.19058333333334
KALEO,15049,0.2508166666666667
KC & The Sunshine Band,25208,0.42013333333333336
Kamelot,4981070,83.01783333333333
Kansas,888209,14.803483333333334
Karnivool,2158508,35.97513333333333
Kasabian,2821,0.047016666666666665
Kevin Sherwood,13027,0.21711666666666668
Keygen Church,2696,0.04493333333333333
Kiba,146515,2.4419166666666667
Kid Loco,242800,4.046666666666667
Kid Rock,2047,0.03411666666666666
Kikagaku Moyo,1749342,29.1557
KillRadio,162494,2.7082333333333333
Killer Be Killed,3349752,55.8292
Killswitch Engage,11836689,197.27815
King Gizzard & The Lizard Wizard,174563,2.9093833333333334
King Harvest,172856,2.880933333333333
Kingdom Of Giants,2243915,37.398583333333335
Kings of Leon,13717,0.22861666666666666
Kinobe,287776,4.796266666666667
Kolm,3065,0.051083333333333335
Kool & The Gang,949263,15.82105
Korn,1711514,28.525233333333333
Kris Kross Amsterdam,156290,2.604833333333333
Kyuss,1288,0.021466666666666665
LANDMVRKS,368770,6.146166666666667
Labyrinth,156936,2.6156
Lamb of God,722,0.012033333333333333
Last Train,681,0.01135
Lathe of Heaven,202760,3.3793333333333333
Latimore,2856,0.0476
Le Destroy,202200,3.37
Le Tigre,672,0.0112
Led Zeppelin,34090646,568.1774333333333
Lenny Kravitz,508773,8.47955
Leprous,1183787,19.729783333333334
Ley Soul,593771,9.896183333333333
Liam Gallagher,764,0.012733333333333333
Lifehouse,979,0.016316666666666667
Lifeseeker,313441,5.2240166666666665
Light The Torch,829122,13.8187
Like Thieves,4754,0.07923333333333334
Limp Bizkit,677224,11.287066666666666
Linkin Park,1613498,26.891633333333335
Liquid Tension Experiment,396066,6.6011
Lit,2777,0.046283333333333336
Little Feat,178419,2.97365
Live,113645,1.8940833333333333
Livealie,268177,4.469616666666667
Living Colour,6531427,108.85711666666667
Lo-Pro,3777,0.06295
Local H,211304,3.521733333333333
Lollie,147272,2.4545333333333335
Lone Kodiak,741357,12.35595
Looking Glass,16226,0.27043333333333336
Lorien Testard,676475,11.274583333333334
Louis Armstrong,1619,0.026983333333333335
Lowen,206554,3.4425666666666666
Lunatic Calm,1745,0.029083333333333333
Lynyrd Skynyrd,17073,0.28455
MASSIVE HASSLE,3649214,60.820233333333334
MASTER BOOT RECORD,126519,2.10865
MGMT,22084,0.36806666666666665
MONSTERWATCH,2806804,46.78006666666667
Mac Glocky,186395,3.1065833333333335
Machine Head,440308,7.338466666666666
Machines Of Loving Grace,676,0.011266666666666666
Mad Hatter,359692,5.994866666666667
Mad Season,18725,0.3120833333333333
Make Them Suffer,59792513,996.5418833333333
Malevolence,196715,3.278583333333333
Mandroid Echostar,3538,0.05896666666666667
Maragda,6262,0.10436666666666666
Marc Teitler,99464,1.6577333333333333
Marcin Przybyłowicz,529687,8.828116666666666
Marcy Playground,12959,0.21598333333333333
Maribou State,729967,12.166116666666667
Marilyn Manson,2164,0.036066666666666664
Mark Morrison,3288,0.0548
Maroon 5,1423,0.023716666666666667
Marvin Gaye,76725,1.27875
Mastodon,2748975,45.81625
Matchbox Twenty,9638,0.16063333333333332
Max Sinàl,235538,3.9256333333333333
Meat Puppets,1108,0.018466666666666666
Megadeth,6737689,112.29481666666666
Memphis May Fire,1003,0.016716666666666668
Men At Work,222594,3.7099
Meshuggah,1371,0.02285
Metallica,27047857,450.79761666666667
Metric,1795,0.029916666666666668
Michael Jackson,1387717,23.128616666666666
Michael McDonald,19940,0.3323333333333333
Mick Gordon,794495,13.241583333333333
Ministry,2284,0.038066666666666665
Misfits,2013,0.03355
Miss May I,453442,7.557366666666667
Mississippi Twilight,192565,3.209416666666667
Modest Mouse,234266,3.9044333333333334
Monuments,477950,7.965833333333333
Moon Soul,800432,13.340533333333333
Morphine,1296,0.0216
Mother Mother,547,0.009116666666666667
Motrik,4846570,80.77616666666667
Motörhead,177190,2.9531666666666667
Mountain,4025,0.06708333333333333
Mudvayne,5159517,85.99195
Muse,2868273,47.80455
Mutes,135890,2.2648333333333333
My Chemical Romance,216942,3.6157
My Life With The Thrill Kill Kult,1781,0.029683333333333332
Måneskin,9487,0.15811666666666666
Mötley Crüe,818192,13.636533333333333
NOTHING MORE,3436952,57.28253333333333
NOVA BRUTE,116640,1.944
NOVELISTS,498250,8.304166666666667
Naliyah,206483,3.4413833333333335
Nas,3077,0.051283333333333334
Nathan Dawe,155253,2.58755
Neil Young,1054,0.017566666666666668
Netherlands,6814226,113.57043333333333
New Order,619,0.010316666666666667
New Radicals,2579,0.04298333333333333
Nickelback,367968,6.1328
Nina Simone,1808,0.030133333333333335
Nine Inch Nails,18697729,311.6288166666667
Nirvana,1898663,31.644383333333334
No Doubt,5158,0.08596666666666666
NoWorld,150760,2.5126666666666666
Noel Gallagher's High Flying Birds,596,0.009933333333333334
