artistName,msPlayed
The Last Shadow Puppets,540
The Mamas & The Papas,155109
The Mars Volta,265181
The Marshall Tucker Band,365106
The Mayan Factor,933
The Messenger Birds,10667
The Neighbourhood,502376
The Offspring,5594
The Parlor Mob,1939
The Pineapple Thief,656
The Police,2154
The Postal Service,347627
The Presidents Of The United States Of America,4825
The Raconteurs,5241
The Rare Occasions,199168
The Red Jumpsuit Apparatus,1242
The Reytons,178705
The Righteous Brothers,1860
The Rolling Stones,1331897
The Ronettes,1224
The Script,261426
The Smashing Pumpkins,501862
The Smiths,1298656
The Spinners,68336
The St Pierre Snake Invasion,197610
The Stone Foxes,199609
The Strokes,3287042
The Strypes,226837
The Stubs,152508
The Tazers,3440
The Technicolors,2640508
The Temptations,158139
The Used,2538
The Valdons,251466
The Verve,3398
The Vines,10567956
The Wallflowers,7837
The White Buffalo,1984
The White Stripes,54886
The Whitest Boy Alive,575222
The Who,24547
The Winery Dogs,444
The Wombats,417
The Word Alive,1205
The Zombies,155040
Thee Sacred Souls,2038287
Them Crooked Vultures,2049707
Third Eye Blind,34967
Thirty Seconds To Mars,11346
Thornhill,7124577
Thousand Leaves,689919
Three Days Grace,274549
Thrice,234815
Thundercat,1046877
Tia Gordon,200000
TieBreak,161000
"Time, The Valuator",1281
Times Of Grace,8418
Tiësto,172252
Toadies,6202
Tom Misch,303439
Tom Petty,123203
Tom Petty and the Heartbreakers,7224
Tommy Saint,227561
Tonic,9151
Toothgrinder,11130
Train,259933
Trapt,4799
Tremonti,7104
Triosphere,1279
Trip Cigs,165651
Trivium,1281
Turnstile,398004
Twelve Foot Ninja,276047
Twenty One Pilots,18275
Two Door Cinema Club,352749
Tyler Bryant & the Shakedown,30992
"Tyler, The Creator",77573
Type O Negative,7299
Týr,991
UFO,1057203
UGHH,108001
Underoath,353501
Unearth,2974
Unleash The Archers,12629976
Unprocessed,3587
VELVETTICA,1214641
VOLA,2586312
Vacations,465660
Van Halen,527127
Vanilla Fudge,812
Varials,32
Variety Lab,202480
Vast,4000
Veil Of Maya,682671
Velvet Revolver,1237647
Vertical Horizon,4051
Veruca Salt,1051
Vision Divine,518
Volumes,450558
Vulkan,1465611
Vundabar,135500
WWE,361952
Wage War,453105
War,2057
Wax Tailor,508534
Wayne Newton,1033
We Are The Ocean,1618
Weep Wave,831
Weezer,270271
Wheel,240898
While She Sleeps,1076181
Whiskey Shivers,190906
White Zombie,211622
Whitesnake,7440
William DeVaughn,825138
William DuVall,1747
Wintersun,4079
Wolfmother,0
Wunderhorse,188225
Yeah Yeah Yeahs,276212
Yellowcard,583
Yes,5046
Yogi Lang,254986
Young the Giant,1001358
Yuko Rade,75407
Yuri Petrovski,717
ZZ Top,19282
Zakk Wylde,1178
Zeal & Ardor,1134777
Zip-Tie Handcuffs,26046902
alt-J,402213
anaiis,251824
benches,212921
blink-182,5112
bôa,3110
city dog,297879
coldrain,796541
mogul,223786
monotypes.,2819318
moondoggy,235373
shy ink,14371
vbnd,272149
✝✝✝ (Crosses),77618
